parameter,value,seed,success_rate,collision_rate,escape_rate,mean_final_distance,mean_final_speed,mean_fuel,mean_safety_violations,mean_return
safety_penalty,2.0,101,0.13,0.14,0.69,49.58477256338675,0.18411270244803532,112.2,1.43,-281.8796969930688
safety_penalty,2.0,202,0.19,0.11,0.7,49.99212166606442,0.17844304671420058,84.9,0.88,-237.0484599483945
safety_penalty,2.0,303,0.14,0.05,0.78,56.680872417692264,0.20172883112546014,118.56,1.35,-299.0695557515962
safety_penalty,10.0,101,0.38,0.01,0.61,43.720085747674496,0.13625371843351297,82.4,0.66,-159.11027466812803
safety_penalty,10.0,202,0.43,0.07,0.48,35.380980057570916,0.13039686829119432,84.57,0.79,-113.47426334938416
safety_penalty,10.0,303,0.41,0.07,0.51,37.09209875725729,0.1288833049897959,75.99,0.61,-109.20312238808542
safety_penalty,30.0,101,0.35,0.06,0.58,41.80933466303828,0.15392071429442228,85.5,0.71,-301.3715846025526
safety_penalty,30.0,202,0.44,0.0,0.56,40.28832883767994,0.1374648456552002,88.4,0.77,-261.18399037002973
safety_penalty,30.0,303,0.43,0.07,0.49,35.81343264904505,0.11996230827431187,78.99,0.73,-223.69450196473315
fuel_penalty,0.02,101,0.42,0.04,0.52,38.648543576368546,0.14962682753074483,82.46,0.74,-125.49219248370859
fuel_penalty,0.02,202,0.36,0.04,0.6,42.923584599482986,0.1496560472632308,80.48,0.73,-161.6986239903985
fuel_penalty,0.02,303,0.34,0.02,0.64,45.91134977451859,0.15281328445667686,93.2,0.72,-188.86098685803285
fuel_penalty,0.12,101,0.38,0.01,0.61,43.720085747674496,0.13625371843351297,82.4,0.66,-159.11027466812803
fuel_penalty,0.12,202,0.43,0.07,0.48,35.380980057570916,0.13039686829119432,84.57,0.79,-113.47426334938416
fuel_penalty,0.12,303,0.41,0.07,0.51,37.09209875725729,0.1288833049897959,75.99,0.61,-109.20312238808542
fuel_penalty,0.35,101,0.35,0.03,0.6,43.72124387322259,0.14422300998184223,84.8,0.71,-197.56448147210224
fuel_penalty,0.35,202,0.29,0.03,0.63,46.723441246256506,0.16156910011201525,101.99,0.99,-264.59317713388555
fuel_penalty,0.35,303,0.26,0.06,0.67,47.89847878894418,0.14188773555539924,81.29,0.92,-273.94574187928345
keep_out_radius,3.0,101,0.09,0.05,0.84,59.920232966633584,0.20041665384731572,119.32,0.72,-325.1228207712602
keep_out_radius,3.0,202,0.12,0.08,0.76,55.35580406819993,0.18611725976381852,112.28,0.51,-282.937919622895
keep_out_radius,3.0,303,0.18,0.04,0.76,54.7861089939865,0.18594644076774489,106.89,0.51,-254.78302984206255
keep_out_radius,5.0,101,0.12,0.04,0.8,58.92681939579647,0.18765140474205041,117.72,0.59,-311.8801952564177
keep_out_radius,5.0,202,0.31,0.09,0.59,42.37741330716679,0.1503789876662659,86.12,0.63,-167.6080225946888
keep_out_radius,5.0,303,0.29,0.11,0.58,41.87451396772903,0.15313736808239942,102.57,0.63,-183.1340181316139
keep_out_radius,8.0,101,0.38,0.01,0.61,43.720085747674496,0.13625371843351297,82.4,0.66,-159.11027466812803
keep_out_radius,8.0,202,0.43,0.07,0.48,35.380980057570916,0.13039686829119432,84.57,0.79,-113.47426334938416
keep_out_radius,8.0,303,0.41,0.07,0.51,37.09209875725729,0.1288833049897959,75.99,0.61,-109.20312238808542
alpha,0.05,101,0.29,0.04,0.67,47.89532466371727,0.1505961084876554,71.25,0.63,-216.40908617874481
alpha,0.05,202,0.21,0.03,0.74,53.63029791592213,0.1653479570815762,91.22,0.7,-274.2101141800469
alpha,0.05,303,0.31,0.08,0.61,43.71226557325045,0.1559021953994038,78.6,0.7,-198.8521145732101
alpha,0.15,101,0.3,0.03,0.66,48.000093161905085,0.15205935256733455,83.66,0.63,-205.87530332899706
alpha,0.15,202,0.33,0.01,0.66,47.284665067413215,0.14695793130495471,81.42,0.63,-196.92484023236943
alpha,0.15,303,0.29,0.06,0.65,46.4895482345931,0.16008069756474996,93.24,0.69,-224.28973287422932
alpha,0.35,101,0.38,0.01,0.61,43.720085747674496,0.13625371843351297,82.4,0.66,-159.11027466812803
alpha,0.35,202,0.43,0.07,0.48,35.380980057570916,0.13039686829119432,84.57,0.79,-113.47426334938416
alpha,0.35,303,0.41,0.07,0.51,37.09209875725729,0.1288833049897959,75.99,0.61,-109.20312238808542
